# %ECSV 1.0,
# ---,
# datatype:,
# - {name: Teff, datatype: float64}
# - {name: logg, datatype: float64}
# - {name: FeH, datatype: float64}
# - {name: profile, datatype: string}
# - {name: filter, datatype: string}
# - {name: wave_min, datatype: float16}
# - {name: wave_eff, datatype: float16}
# - {name: wave_max, datatype: float16}
# - {name: c1, datatype: float64}
# - {name: e1, datatype: float64}
# - {name: c2, datatype: float64}
# - {name: e2, datatype: float64}
# - {name: c3, datatype: float64}
# - {name: e3, datatype: float64}
# - {name: c4, datatype: float64}
# - {name: e4, datatype: float64}
# schema: astropy-2.0,
Teff logg FeH profile filter wave_min wave_eff wave_max c1 e1 c2 e2 c3 e3 c4 e4,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 0.8657 0.8794 0.8936 0.586 0.0 0.172 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 0.8975 0.911 0.9253 0.577 0.0 0.177 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 0.929 0.943 0.957 0.567 0.0 0.18 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 0.961 0.9746 0.989 0.561 0.001 0.179 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 0.9927 1.007 1.0205 0.554 0.0 0.183 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.024 1.038 1.052 0.546 0.001 0.185 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.057 1.07 1.084 0.538 0.001 0.188 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.088 1.102 1.115 0.535 0.001 0.195 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.12 1.134 1.147 0.532 0.001 0.197 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.151 1.165 1.179 0.53 0.001 0.203 0.001 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.184 1.197 1.211 0.529 0.001 0.208 0.002 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.215 1.229 1.242 0.531 0.001 0.217 0.002 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.247 1.261 1.274 0.53 0.001 0.225 0.002 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.278 1.292 1.306 0.531 0.001 0.235 0.002 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.311 1.324 1.338 0.529 0.001 0.242 0.002 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.342 1.355 1.37 0.533 0.001 0.256 0.003 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.374 1.388 1.401 0.532 0.002 0.267 0.004 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.405 1.419 1.434 0.529 0.002 0.276 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.4375 1.451 1.465 0.531 0.003 0.291 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.469 1.482 1.497 0.522 0.003 0.299 0.006 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.501 1.515 1.528 0.516 0.004 0.309 0.008 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.532 1.546 1.561 0.508 0.004 0.317 0.009 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.564 1.578 1.592 0.496 0.005 0.317 0.01 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.596 1.609 1.624 0.48 0.005 0.313 0.011 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.628 1.642 1.655 0.469 0.006 0.311 0.012 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.659 1.673 1.6875 0.465 0.006 0.307 0.012 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.691 1.705 1.719 0.458 0.006 0.302 0.012 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.723 1.736 1.751 0.447 0.006 0.304 0.011 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.755 1.769 1.782 0.454 0.005 0.296 0.011 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.786 1.8 1.814 0.448 0.005 0.295 0.011 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.818 1.832 1.846 0.447 0.005 0.29 0.01 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.85 1.863 1.878 0.44 0.005 0.286 0.01 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.882 1.8955 1.909 0.434 0.005 0.284 0.01 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.913 1.927 1.941 0.435 0.005 0.276 0.01 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.945 1.959 1.973 0.428 0.005 0.274 0.009 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 1.977 1.99 2.004 0.425 0.004 0.268 0.009 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.008 2.021 2.037 0.422 0.004 0.265 0.009 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.041 2.055 2.068 0.419 0.004 0.263 0.009 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.072 2.086 2.1 0.414 0.004 0.259 0.009 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.104 2.117 2.13 0.411 0.004 0.256 0.009 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.135 2.148 2.164 0.408 0.004 0.256 0.008 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.168 2.182 2.195 0.401 0.004 0.255 0.008 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.2 2.213 2.227 0.401 0.004 0.249 0.008 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.23 2.244 2.258 0.398 0.004 0.246 0.008 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.262 2.275 2.291 0.396 0.003 0.24 0.007 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.295 2.309 2.322 0.395 0.003 0.229 0.007 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.326 2.34 2.354 0.395 0.003 0.236 0.007 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.357 2.371 2.385 0.391 0.003 0.23 0.006 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.389 2.402 2.418 0.386 0.002 0.217 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.422 2.436 2.45 0.383 0.003 0.218 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.453 2.467 2.48 0.381 0.003 0.221 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.484 2.498 2.512 0.376 0.002 0.209 0.004 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.516 2.53 2.545 0.373 0.002 0.21 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.549 2.562 2.576 0.369 0.002 0.21 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.58 2.594 2.607 0.366 0.002 0.206 0.004 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.611 2.625 2.639 0.364 0.002 0.209 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.643 2.658 2.672 0.36 0.002 0.205 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.676 2.69 2.703 0.357 0.002 0.205 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.707 2.72 2.734 0.355 0.002 0.203 0.005 nan nan nan nan,
5000.0 4.0 0.0 logarithmic NIRISS.CLEAR.GR700XD_1.SOSS 2.738 2.752 2.766 0.349 0.002 0.205 0.005 nan nan nan nan,
